TS_Type,ISO3,Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,FirstReportedOn,Reported,Change,Change_Percentage,Change_5,Change_Percentage_5,Change_8,Change_Percentage_8,World_Code,World,Continent_Code,Continent,Continental_SubRegion_Code,Continental_SubRegion,Intermediary_Region_Code,Intermediary_Region
CONFIRMED,NER,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,2020-03-20,3,0,0.0,3,300,3,300,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
CONFIRMED,SDN,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,2020-03-13,3,1,50.0,1,50.0,2,200.0,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
CONFIRMED,TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2020-03-19,3,2,200.0,2,200.0,3,300,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,17.0,Middle Africa
CONFIRMED,ZMB,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,2020-03-18,3,0,0.0,1,50.0,3,300,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa
CONFIRMED,ZWE,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,2020-03-20,3,0,0.0,3,300,3,300,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa
CONFIRMED,BTN,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2020-03-06,2,0,0.0,1,100.0,1,100.0,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
CONFIRMED,DMA,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2020-03-22,2,0,0.0,2,200,2,200,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
CONFIRMED,LAO,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2020-03-24,2,2,200,2,200,2,200,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
CONFIRMED,MRT,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2020-03-14,2,0,0.0,0,0.0,1,100.0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,11.0,Western Africa
CONFIRMED,NIC,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2020-03-19,2,0,0.0,1,100.0,2,200,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
CONFIRMED,NPL,Nepal,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2020-01-25,2,0,0.0,1,100.0,1,100.0,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
CONFIRMED,SXM,Sint Maarten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2020-03-20,2,0,0.0,2,200,2,200,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
CONFIRMED,BLZ,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2020-03-23,1,0,0.0,1,100,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
CONFIRMED,ERI,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2020-03-21,1,0,0.0,1,100,1,100,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa
CONFIRMED,GRD,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
CONFIRMED,LBY,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020-03-24,1,1,100,1,100,1,100,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
CONFIRMED,MSR,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2020-03-18,1,0,0.0,0,0.0,1,100,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
CONFIRMED,PNG,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2020-03-20,1,0,0.0,1,100,1,100,1.0,World,9.0,Oceania,54.0,Melanesia,57.0,Micronesia
CONFIRMED,SOM,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2020-03-16,1,0,0.0,0,0.0,0,0.0,1.0,World,2.0,Africa,202.0,Sub-Saharan Africa,14.0,Eastern Africa
CONFIRMED,SYR,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
CONFIRMED,TLS,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2020-03-22,1,0,0.0,1,100,1,100,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
CONFIRMED,VCT,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2020-03-14,1,0,0.0,0,0.0,0,0.0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,ITA,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,10,12,17,21,29,34,52,79,107,148,197,233,366,463,631,827,827,1266,1441,1809,2158,2503,2978,3405,4032,4825,5476,6077,6820,2020-02-21,6820,743,12.23,3415,100.29,4662,216.03,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,CHN,China,17,18,26,42,56,82,131,133,171,213,259,361,425,491,563,633,718,805,905,1012,1112,1117,1369,1521,1663,1766,1864,2003,2116,2238,2238,2443,2445,2595,2665,2717,2746,2790,2837,2872,2914,2947,2983,3015,3044,3072,3100,3123,3139,3161,3172,3180,3193,3203,3217,3230,3241,3249,3253,3259,3274,3274,3281,2020-01-22,3281,7,0.21,32,0.98,64,1.99,1.0,World,142.0,Asia,30.0,Eastern Asia,30.0,Eastern Asia
DEATHS,ESP,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,10,17,28,35,54,55,133,195,289,342,533,623,830,1043,1375,1772,2311,2808,2020-03-03,2808,497,21.51,1978,238.31,2466,721.05,1.0,World,150.0,Europe,39.0,Southern Europe,155.0,Western Europe
DEATHS,IRN,Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,8,12,16,19,26,34,43,54,66,77,92,107,124,145,194,237,291,354,429,514,611,724,853,988,1135,1284,1433,1556,1685,1812,1934,2020-02-19,1934,122,6.73,650,50.62,1081,126.73,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
DEATHS,FRA,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,6,9,11,19,19,33,48,48,79,91,91,148,148,148,243,450,562,674,860,1100,2020-02-15,1100,240,27.91,857,352.67,952,643.24,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,USA,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,12,14,17,21,22,28,36,40,47,54,63,85,108,118,200,244,307,417,557,706,2020-02-29,706,149,26.75,506,253.0,621,730.59,1.0,World,19.0,Americas,21.0,Northern America,21.0,Northern America
DEATHS,GBR,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,6,8,8,8,21,21,55,55,71,137,177,233,281,335,422,2020-03-05,422,87,25.97,285,208.03,367,667.27,1.0,World,150.0,Europe,154.0,Northern Europe,39.0,Southern Europe
DEATHS,NLD,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,10,12,20,24,43,58,76,106,136,179,213,276,2020-03-06,276,63,29.58,200,263.16,252,1050.0,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,DEU,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,7,9,11,17,24,28,44,67,84,94,123,157,2020-03-09,157,34,27.64,113,256.82,140,823.53,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,BEL,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,10,14,21,37,67,75,88,122,2020-03-11,122,34,38.64,101,480.95,117,2340.0,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,CHE,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,11,13,14,14,27,28,41,54,75,98,120,122,2020-03-05,122,2,1.67,81,197.56,108,771.43,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,KOR,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,8,10,12,13,13,16,17,28,28,35,35,42,44,50,53,54,60,66,66,72,75,75,81,84,91,94,102,111,111,120,2020-02-20,120,9,8.11,29,31.87,45,60.0,1.0,World,142.0,Asia,30.0,Eastern Asia,30.0,Eastern Asia
DEATHS,IDN,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,19,25,32,38,48,49,55,2020-03-11,55,6,12.24,30,120.0,50,1000.0,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
DEATHS,BRA,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,15,25,34,46,2020-03-17,46,12,35.29,40,666.67,46,4600,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,TUR,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,30,37,44,2020-03-17,44,7,18.92,41,1366.67,44,4400,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,JPN,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,5,6,6,6,6,6,6,6,6,10,10,15,16,19,22,22,27,29,29,29,33,35,41,42,43,2020-02-13,43,1,2.38,14,48.28,16,59.26,1.0,World,142.0,Asia,30.0,Eastern Asia,30.0,Eastern Asia
DEATHS,SWE,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,6,7,10,11,16,20,21,25,36,2020-03-11,36,11,44.0,25,227.27,30,500.0,1.0,World,150.0,Europe,154.0,Northern Europe,39.0,Southern Europe
DEATHS,PHL,Philippines,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,8,11,12,12,19,17,18,19,25,33,35,2020-02-02,35,2,6.06,18,105.88,23,191.67,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
DEATHS,PRT,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,12,14,23,33,2020-03-17,33,10,43.48,30,1000.0,33,3300,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,DNK,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,6,9,13,13,24,32,2020-03-14,32,8,33.33,26,433.33,29,966.67,1.0,World,150.0,Europe,154.0,Northern Europe,154.0,Northern Europe
DEATHS,AUT,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,4,6,6,8,16,21,28,2020-03-12,28,7,33.33,22,366.67,25,833.33,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,ECU,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,5,7,14,18,27,2020-03-14,27,9,50.0,24,800.0,25,1250.0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,IRQ,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,6,7,7,8,9,10,10,10,11,12,13,17,17,20,23,27,2020-03-04,27,4,17.39,14,107.69,17,170.0,1.0,World,142.0,Asia,145.0,Western Asia,145.0,Western Asia
DEATHS,CAN,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,5,8,9,12,19,21,25,26,2020-03-09,26,1,4.0,17,188.89,22,550.0,1.0,World,19.0,Americas,21.0,Northern America,21.0,Northern America
DEATHS,SMR,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,5,5,5,7,7,11,11,14,20,20,20,21,2020-03-03,21,1,5.0,10,90.91,14,200.0,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,EGY,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,4,6,6,8,10,14,19,20,2020-03-08,20,1,5.26,14,233.33,18,900.0,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
DEATHS,GRC,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,5,5,6,6,13,15,17,20,2020-03-11,20,3,17.65,14,233.33,16,400.0,1.0,World,150.0,Europe,39.0,Southern Europe,39.0,Southern Europe
DEATHS,DZA,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,7,9,11,15,17,17,19,2020-03-12,19,2,11.76,10,111.11,15,375.0,1.0,World,2.0,Africa,15.0,Northern Africa,15.0,Northern Africa
DEATHS,MYS,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,10,14,16,2020-03-17,16,2,14.29,14,700.0,16,1600,1.0,World,142.0,Asia,35.0,South-eastern Asia,35.0,South-eastern Asia
DEATHS,NOR,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,7,7,7,7,10,12,2020-03-14,12,2,20.0,5,71.43,9,300.0,1.0,World,150.0,Europe,154.0,Northern Europe,154.0,Northern Europe
DEATHS,ROU,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,2020-03-22,11,4,57.14,11,1100,11,1100,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,IND,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,5,4,7,10,10,2020-03-11,10,0,0.0,6,150.0,8,400.0,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
DEATHS,POL,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,5,5,5,5,7,8,10,2020-03-12,10,2,25.0,5,100.0,6,150.0,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,XX,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,10,2020-02-20,10,2,25.0,3,42.86,3,42.86,,,,,,,,
DEATHS,HUN,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,6,7,9,2020-03-15,9,2,28.57,8,800.0,8,800.0,1.0,World,150.0,Europe,151.0,Eastern Europe,151.0,Eastern Europe
DEATHS,AUS,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,5,6,6,7,7,7,7,8,2020-03-01,8,1,14.29,2,33.33,5,166.67,1.0,World,9.0,Oceania,53.0,Australia and New Zealand,53.0,Australia and New Zealand
DEATHS,LUX,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,4,8,8,8,8,2020-03-14,8,0,0.0,4,100.0,7,700.0,1.0,World,150.0,Europe,155.0,Western Europe,155.0,Western Europe
DEATHS,IRL,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,4,6,7,2020-03-11,7,1,16.67,4,133.33,5,250.0,1.0,World,150.0,Europe,154.0,Northern Europe,154.0,Northern Europe
DEATHS,PAK,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,6,7,2020-03-19,7,1,16.67,5,250.0,7,700,1.0,World,142.0,Asia,34.0,Southern Asia,34.0,Southern Asia
DEATHS,PER,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,7,2020-03-20,7,2,40.0,7,700,7,700,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,ARG,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,6,2020-03-08,6,2,50.0,3,100.0,4,200.0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,5.0,South America
DEATHS,DOM,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,6,2020-03-17,6,3,100.0,4,200.0,6,600,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,29.0,Caribbean
DEATHS,PAN,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,6,6,2020-03-11,6,0,0.0,5,500.0,5,500.0,1.0,World,19.0,Americas,419.0,Latin America and the Caribbean,13.0,Central America
